Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,x_sx_error_,p_i,p_i_pred,RSE
0,384.8077310067106,486.23766078571145,0.0027,0.0044,0.001,0.0001327268526847,0.92095935727788,0.949549699825185,0.0008174076869722368
0,232.3192603398693,323.0582975949717,0.005126953125,0.00634765625,0.00390625,0.0001991776765114,0.9528591682419628,0.9417282832926327,0.00012389659975522383
1,460.1554823065436,171.8701412459624,0.0057,0.0086,0.0028,0.0004009879300176,0.9623109640831728,0.9335885465899968,0.0008249772666523059
1,521.0552804202151,130.86193138748442,0.015869140625,0.01123046875,0.0205078125,0.000190538039894,0.9487240075614336,0.9212060321996527,0.0007572389680115813
2,297.6389408350375,149.38970812380646,0.0046,0.0064,0.0028,0.0003890796801494,0.9623109640831728,0.9334320917678084,0.0008339892662071237
2,272.73794752613907,142.77383610540738,0.01171875,0.009765625,0.013671875,0.000131907626893,0.9781427221171992,0.9259726215367339,0.00272171939457587
3,211.62128005649924,146.72567571405563,0.0062999999999999,0.0076,0.005,0.0001635116734481,0.9822778827977284,0.9315910240615277,0.0025691576485435664
3,249.63594857402217,142.13468228326232,0.00634765625,0.0048828125,0.0078125,9.24995750204e-05,0.9351370510396946,0.9312950594307459,1.4760899523232326e-05
4,110.63914548442315,119.10729897263316,0.0653,0.0712,0.0594,0.0004795380529602,0.9002835538752335,0.8713245019845823,0.0008386266864054275
4,541.8192633031138,227.85974291043976,0.084716796875,0.06982421875,0.099609375,0.0005581641294551,0.7904064272211697,0.8578657569290337,0.004550761164634295
5,445.07588572049497,440.3779108063197,0.0127,0.0094,0.016,0.0002193882350308,0.9940926275992408,0.9382966732762029,0.0031131885188185266
5,438.15356415087024,442.81284248188086,0.016357421875,0.0244140625,0.00830078125,0.0001755001441622,0.8908317580340237,0.934720970793102,0.0019262629966116424
6,274.93909720509214,147.01187276966468,0.0163999999999999,0.0304,0.0024,0.000415818029972,0.9002835538752335,0.9215334596029466,0.0004515584934366951
6,372.895847892788,185.4006400646429,0.0126953125,0.0087890625,0.0166015625,9.25519982097e-05,0.9840500945179552,0.9273728006823971,0.0032123156365221903
7,410.7681347984127,363.2063834652582,0.005126953125,0.00390625,0.00634765625,9.83143923442e-05,0.9999999999999968,0.9432953432751864,0.003215418094278585
7,287.7388438890699,157.7930903066063,0.0427999999999999,0.024,0.0616,0.000321030620219,0.8973298676748555,0.8957981604586488,2.3461269961795464e-06
8,423.20033408167046,316.26113499159607,0.15283203125,0.263671875,0.0419921875,0.057518967321455,0.6958884688090718,0.7941322511828625,0.00965184077510873
8,454.8924923762133,297.7769648588041,0.0449,0.0586,0.0312,0.0007063328010428,0.8530245746691846,0.9009785102444755,0.002299579937159153
9,454.1564258582864,376.3262951626362,0.01416015625,0.017578125,0.0107421875,0.0001416230256928,0.9469517958412068,0.9347605295381756,0.00014862697407142512
9,118.37388492679776,159.05165351485545,0.0178,0.0314,0.0042,0.0003092412718703,0.8943761814744774,0.9208018438897061,0.0006983156340836308
10,233.4033388653241,78.30533009331471,0.011962890625,0.01123046875,0.0126953125,0.000149263231242,0.9999999999999968,0.9230097562232118,0.005927497636808779
10,296.817946413255,84.01668052014429,0.0047,0.006,0.0034,0.0001695320061317,0.937381852551982,0.930401315487137,4.872789771367523e-05
11,145.4709866714758,179.5609297415617,0.0194999999999999,0.0178,0.0212,0.0007792412915607,0.9822778827977284,0.9202580675762859,0.003846457480101872
11,242.6215792943725,220.72528313966023,0.004638671875,0.005859375,0.00341796875,0.0002078364101893,0.9469517958412068,0.93735164812307,9.216283621004674e-05
12,420.3339076984881,320.3019685662814,0.0193999999999999,0.0164,0.0224,0.0003009248493459,0.8589319470699407,0.9273788652285038,0.004684980605405032
12,378.7884970988112,378.8805089027159,0.017822265625,0.0146484375,0.02099609375,0.0001044694326597,0.8376654064272187,0.9311984641485778,0.008748432886707095
13,269.3716591911651,86.06568861150538,0.0234999999999999,0.0324,0.0146,0.0001718197335038,0.9999999999999968,0.91171015799125,0.007795096201929469
13,446.8310757521897,91.48537843271934,0.0263671875,0.0224609375,0.0302734375,0.0002448923424111,0.9822778827977284,0.9090204660354986,0.005366649110675035
14,381.364641319099,353.08039047033486,0.0042999999999999,0.0058,0.0028,9.86243916207e-05,0.9569943289224924,0.9437416354840706,0.00017563388337278626
14,277.3241490267648,330.23714298621314,0.005126953125,0.0068359375,0.00341796875,0.0001521463069938,0.9623109640831728,0.9420218202788501,0.00041164935631248965
15,380.5148007759491,70.9926395505747,0.0263671875,0.0146484375,0.0380859375,0.0005410877531115,0.8855151228733432,0.9084899704843267,0.000527843622747912
15,351.40390800435887,66.71791674174106,0.0537999999999999,0.0594,0.0482,0.0005933173513627,0.9822778827977284,0.8810588343232423,0.010245295774080378
16,321.5433335740062,110.69141580900484,0.0143999999999999,0.0258,0.003,0.0001677639083568,0.9528591682419628,0.9217034377451557,0.0009706795427896752
16,421.7006835936474,127.82068064772756,0.03125,0.0224609375,0.0400390625,0.0001224419363492,0.9380907372400726,0.9057113657475314,0.001048423698251991
17,413.9342007875416,69.63560089463772,0.058837890625,0.0634765625,0.05419921875,0.0003925617269211,0.9899574669187112,0.8760814710318893,0.012967742439215491
17,319.23929768270386,53.07364689001495,0.0840999999999999,0.0684,0.0998,0.0009645795234531,0.9528591682419628,0.850697384575216,0.010437030041971168
18,253.64926408586183,46.74275835758955,0.004,0.0056,0.0024,0.0001865333712593,0.9551039697542504,0.9305551098019592,0.0006026465249572052
18,433.1155608043481,49.28161580992735,0.005126953125,0.00830078125,0.001953125,0.0002011995683007,0.9410444234404508,0.9294407432583363,0.00013464539376879797
19,333.4311638524518,214.7167540188217,0.036376953125,0.03466796875,0.0380859375,0.0002530893888037,0.9698724007561406,0.9053741944068949,0.00416001862226987
19,377.9497975617496,248.63158659548463,0.0249,0.0328,0.017,0.0002305068238674,0.9499054820415848,0.9185961610906955,0.0009802735784057912
20,499.33639789182257,482.8878544435456,0.038,0.0656,0.0104,0.0001311830987886,0.7998582230623795,0.914255259183797,0.013086681873364899
20,339.0853438381704,375.1828995075223,0.03759765625,0.0380859375,0.037109375,0.0001372428937304,0.9475425330812824,0.9113446760461263,0.0013102848539376
21,245.21169798908497,184.49806855661336,0.0181,0.015,0.0212,0.0010471091820151,0.9940926275992408,0.9219318224498357,0.005207181799810401
21,460.1333054724943,200.501943565756,0.013427734375,0.01025390625,0.0166015625,0.0001612039165746,0.9516776937618115,0.9274842367258465,0.0005853233633510889
22,278.23988086421,193.66022799336963,0.0137,0.0194,0.008,0.0004911670884429,0.9564035916824166,0.9268327902449803,0.0008744322976522841
22,357.88071469841464,77.1937803857095,0.01708984375,0.01318359375,0.02099609375,0.0014673078659458,0.8796077504725871,0.9178704508647925,0.0014640342413036723
23,368.0803094625602,204.066024814404,0.0244999999999999,0.0292,0.0198,0.0001038686399743,0.9704631379962162,0.916638043378823,0.0028971408105713256
23,366.3085538123374,224.2832264052,0.019287109375,0.025390625,0.01318359375,8.93210573995e-05,0.9469517958412068,0.9229320183971732,0.0005769497084609057
24,285.1667977138692,63.84447589504281,0.0214999999999999,0.038,0.005,0.0005389203724846,0.9203686200378044,0.9132326679054228,5.09218128356416e-05
24,279.97420964851904,64.22718195242905,0.03515625,0.03662109375,0.03369140625,0.0005624431509975,0.9304111531190896,0.8996177388816504,0.0009482343603985231
25,233.1146118369276,270.27334464098,0.008056640625,0.0078125,0.00830078125,0.0001205871463051,0.9439981096408288,0.9364573943008384,5.68623878387657e-05
25,213.10008177147807,214.97895745808407,0.0081999999999999,0.0092,0.0072,0.0001997416674999,0.9469517958412068,0.9334904546492053,0.000181207706687476
26,219.62803350377453,99.1169433243085,0.014404296875,0.0107421875,0.01806640625,0.000557874937009,0.926866729678636,0.9212233641797332,3.184757415420729e-05
26,201.77862814514555,111.7846024582242,0.0131999999999999,0.0234,0.003,0.0005804951562454,0.9061909262759896,0.9229486457331808,0.0002808211614059238
27,332.557869074629,85.03105020263008,0.02978515625,0.0234375,0.0361328125,0.000294284489091,0.8973298676748555,0.9054115990000499,6.531438121262855e-05
27,334.32316153631774,75.71208309358087,0.0466999999999999,0.0448,0.0486,0.0010823300318048,0.902646502835536,0.8883058062999939,0.00020565557712451068
